feature,mean_abs_shap
customer_age_days,2.4744596
isolation_anomaly_score,2.193076
unique_products,0.8665424
refund_rate,0.8453967
graph_emb_25,0.45629805
order_count,0.45021954
total_relationships,0.43418056
unique_merchants,0.36494547
total_discount,0.35254508
refund_to_spend_ratio,0.3380235
discount_to_spend_ratio,0.32984313
graph_emb_10,0.27101895
nx_clustering,0.24351425
graph_emb_18,0.19141345
coupon_rate,0.1726407
spend_30d,0.1669351
graph_emb_20,0.15664993
total_quantity,0.13752215
avg_amount_90d,0.13343275
avg_amount_30d,0.12384297
orders_per_active_day,0.123490036
median_order_amount,0.121137306
relationship_age_days,0.115264975
graph_emb_7,0.113711886
refund_amount,0.10729109
avg_order_amount,0.10399545
graph_emb_23,0.097010665
graph_emb_2,0.09178481
max_order_amount,0.090846054
graph_emb_21,0.08590242
graph_emb_19,0.08462133
nx_weighted_degree,0.08370865
graph_emb_9,0.082972385
spend_90d,0.08112002
refund_count,0.07705367
nx_pagerank,0.076939814
graph_emb_6,0.07661753
graph_emb_27,0.076518394
graph_emb_31,0.0682034
graph_emb_8,0.06471957
graph_emb_17,0.061573286
refunds_90d,0.055344716
graph_emb_12,0.0529662
graph_emb_24,0.048417445
total_spend,0.046898358
orders_30d,0.044039235
coupon_count,0.040888533
graph_emb_11,0.039603412
graph_emb_0,0.038101815
shared_household,0.03653613
graph_emb_14,0.034973253
graph_emb_13,0.03368574
orders_90d,0.030773865
avg_amount_7d,0.027778208
spend_7d,0.027765403
graph_emb_26,0.025645996
graph_emb_30,0.022993885
refund_amount_30d,0.022350483
graph_emb_15,0.021495672
refund_amount_90d,0.019933391
graph_emb_29,0.019678937
discount_30d,0.019051617
graph_emb_4,0.0185819
graph_emb_1,0.01844248
avg_refund_amount,0.014885709
discount_90d,0.014777578
graph_emb_3,0.014328089
graph_emb_16,0.013546263
nx_degree,0.012696419
graph_emb_22,0.012234619
unique_payment_methods,0.010052639
graph_emb_28,0.009817995
order_burst_ratio,0.008867639
refund_burst_ratio,0.008621181
refund_amount_7d,0.007504603
avg_discount,0.0074733314
refunds_30d,0.0063462686
graph_emb_5,0.005705075
coupon_burst_ratio,0.0052437386
unique_devices,0.00522265
orders_7d,0.0041878293
coupons_30d,0.0040714564
discount_7d,0.0038910888
payment_connections,0.0038770833
coupons_90d,0.0018246563
refunds_7d,0.00094457634
unique_networks,0.0
unique_addresses,0.0
nx_component_size,0.0
coupons_7d,0.0
paid_with,0.0
address_connections,0.0
network_connections,0.0
connected_via,0.0
used_device,0.0
shipped_to,0.0
device_connections,0.0
