feature,importance
total_relationships,0.13944371
graph_emb_9,0.10563492
graph_emb_12,0.06372398
graph_emb_25,0.058381006
graph_emb_20,0.046978693
total_discount,0.04591876
refund_rate,0.040725704
discount_to_spend_ratio,0.03632719
graph_emb_10,0.03506708
refunds_90d,0.033780333
graph_emb_2,0.02682203
isolation_anomaly_score,0.022467311
graph_emb_18,0.019085847
graph_emb_15,0.017596291
graph_emb_6,0.016935281
refund_to_spend_ratio,0.013962827
graph_emb_17,0.012811517
unique_products,0.01276075
coupon_rate,0.012268783
coupon_count,0.011113855
orders_per_active_day,0.010879207
avg_amount_90d,0.009870565
graph_emb_23,0.009322482
avg_order_amount,0.008371134
unique_merchants,0.008193839
graph_emb_19,0.0067451834
graph_emb_8,0.006649419
refund_count,0.00662743
nx_weighted_degree,0.006325042
customer_age_days,0.0061946805
graph_emb_3,0.0060997466
graph_emb_4,0.005288021
orders_90d,0.0052092457
refund_amount,0.005116562
orders_30d,0.0046458207
nx_clustering,0.0045881015
total_quantity,0.0043063834
graph_emb_1,0.004272885
graph_emb_31,0.004139685
order_count,0.0041019167
median_order_amount,0.0040751747
total_spend,0.0036943236
graph_emb_14,0.0036500695
shared_household,0.0034374918
avg_discount,0.003281898
graph_emb_29,0.0032561743
refund_amount_30d,0.003225628
graph_emb_30,0.0031567835
unique_devices,0.0030966466
graph_emb_27,0.0030542517
graph_emb_16,0.0030148968
spend_30d,0.0028638253
refunds_7d,0.0026514016
graph_emb_26,0.0026294217
refund_amount_90d,0.0024626425
avg_refund_amount,0.0024497893
graph_emb_21,0.0024239412
nx_pagerank,0.0023455455
spend_7d,0.0023448623
refund_amount_7d,0.002295715
discount_30d,0.002278469
graph_emb_0,0.002229901
coupons_90d,0.0021823721
graph_emb_11,0.0021574814
relationship_age_days,0.0021012293
coupons_30d,0.002089193
discount_90d,0.0019015212
graph_emb_28,0.001885505
graph_emb_5,0.0018837261
graph_emb_24,0.0018151506
graph_emb_13,0.0017916997
graph_emb_7,0.001693892
avg_amount_7d,0.0016471597
unique_payment_methods,0.0016165054
refund_burst_ratio,0.0015994408
spend_90d,0.0014652441
orders_7d,0.0014058942
discount_7d,0.0012563788
payment_connections,0.001231914
avg_amount_30d,0.0012049889
order_burst_ratio,0.0011551358
nx_degree,0.0011475637
graph_emb_22,0.0011341288
refunds_30d,0.0010117232
max_order_amount,0.0009847637
coupon_burst_ratio,0.0009652993
unique_networks,0.0
unique_addresses,0.0
nx_component_size,0.0
coupons_7d,0.0
paid_with,0.0
address_connections,0.0
network_connections,0.0
connected_via,0.0
used_device,0.0
shipped_to,0.0
device_connections,0.0
